Account Id,Account Name,Pipeline Id,Pipeline Name,Stage Id,Stage Name
34,Rock BPO,Oe7lHU3vwEhNeMsTUxsa,Transfer Portal,7c869575-d430-4754-b877-fa90b89fd0d1,Declined Underwriting
34,Rock BPO,Oe7lHU3vwEhNeMsTUxsa,Transfer Portal,9ed8e888-d72c-4ebf-aae0-cfd054e7cffb,Pending Approval
34,Rock BPO,Oe7lHU3vwEhNeMsTUxsa,Transfer Portal,34240926-a0d3-4575-a103-53f756b6000b,Pending Manual Action
35,Avenue Consultancy,Lyj9RFAIYjyh5K58vX5n,Chargeback Pipeline,74aefc3c-9271-43c5-8b28-3debc58dd397,FDPF Pending Reason
35,Avenue Consultancy,Lyj9RFAIYjyh5K58vX5n,Chargeback Pipeline,86372cc6-22cf-4fd9-946a-827ee2ff6829,FDPF Insufficient Funds
35,Avenue Consultancy,Lyj9RFAIYjyh5K58vX5n,Chargeback Pipeline,eb00ae4d-3f14-43f5-abd8-83a6f9f4e0dd,FDPF Incorrect Banking Info
35,Avenue Consultancy,Lyj9RFAIYjyh5K58vX5n,Chargeback Pipeline,129ad8dd-310f-4216-859d-2844cbbc7158,FDPF Unauthorized Draft
35,Avenue Consultancy,Lyj9RFAIYjyh5K58vX5n,Chargeback Pipeline,6b731801-9d13-4460-93ef-07c35f97b15e,Pending Failed Payment Fix
35,Avenue Consultancy,Lyj9RFAIYjyh5K58vX5n,Chargeback Pipeline,d745f635-f16a-4dbd-b33c-3a8a782d5d6f,Pending Lapse
35,Avenue Consultancy,Lyj9RFAIYjyh5K58vX5n,Chargeback Pipeline,2480111a-6284-4958-b76e-663eb7e69855,Chargeback Failed Payment
35,Avenue Consultancy,Lyj9RFAIYjyh5K58vX5n,Chargeback Pipeline,31f1780e-7634-4b70-83c9-0d644dccd38b,Chargeback Cancellation
35,Avenue Consultancy,Lyj9RFAIYjyh5K58vX5n,Chargeback Pipeline,5f5716e0-9dd0-49ad-870a-c7c7b1590c3d,Pending Chargeback Fix
